id,name,breed,specialNeeds,ownerId,currentRoomId,createdAt,updatedAt
1,Max,Golden Retriever,None,1,,2025-04-06T17:00:27.143Z,2025-04-06T17:00:27.143Z
2,Bella,Poodle,Special diet,1,,2025-04-06T17:00:28.531Z,2025-04-06T17:00:28.531Z
79,ג'מה ,מעורבת ,,71,2,2025-06-08T08:00:58.883Z,2025-06-08T08:00:58.921Z
5,מוצ'י ,מעורב ,,4,3,2025-04-07T16:55:05.495Z,2025-04-07T16:55:05.526Z
27,צארלי ,בולדוג אנגלי ,,24,1,2025-04-07T18:19:04.441Z,2025-06-09T17:01:17.747Z
3,קפטן,לברדור,אנטיביוטיקה בוקר וערב,2,1,2025-04-06T17:04:58.618Z,2025-06-07T20:21:31.672Z
9,מייפל ,מעורבת ,דגש התנהגותי ,8,2,2025-04-07T17:12:15.479Z,2025-04-07T17:12:15.501Z
10,ברי ,מעורבת ,,9,2,2025-04-07T17:15:39.737Z,2025-04-07T17:15:39.760Z
11,ג'וי ,פינצ'רית ,,10,3,2025-04-07T17:23:57.915Z,2025-04-07T17:23:57.937Z
13,לילי ,פיצ'רית ,מבוגרת ,12,1,2025-04-07T17:31:39.691Z,2025-04-07T17:31:39.714Z
60,פומי ,פומרניין ,גור- כלוב ,52,3,2025-05-06T11:57:05.581Z,2025-05-06T11:57:05.611Z
15,פינקי ,מעורב קטן ,,14,1,2025-04-07T17:35:20.860Z,2025-04-07T17:35:20.883Z
16,קופר ,דודל ,,15,2,2025-04-07T17:37:12.343Z,2025-04-07T17:37:12.380Z
17,בובי ,פודל בינוני ,,16,1,2025-04-07T17:39:32.583Z,2025-04-07T17:39:32.608Z
18,רוקי ,מעורב ,,17,2,2025-04-07T17:46:54.365Z,2025-04-07T17:46:54.390Z
19,בלה ,בורדרית ,,18,2,2025-04-07T17:48:34.125Z,2025-04-07T17:48:34.154Z
20,מושו ,פודל טוי ,פנסיון אילוף ,19,1,2025-04-07T17:53:18.400Z,2025-04-07T17:53:18.426Z
21,גוזי ,מעורב בינוני ,,20,2,2025-04-07T17:59:47.247Z,2025-04-07T17:59:47.293Z
22,לוקאס ,בוסטון ,,21,1,2025-04-07T18:08:19.063Z,2025-04-07T18:08:19.107Z
23,בלה ,בולדוג צרפתי ,,21,1,2025-04-07T18:08:19.063Z,2025-04-07T18:08:19.107Z
24,טומי ,מבוגר 13 ,,22,1,2025-04-07T18:10:37.722Z,2025-04-07T18:10:37.753Z
25,בילי ,ציוואווה ,,22,1,2025-04-07T18:10:37.722Z,2025-04-07T18:10:37.753Z
41,טס ,דוברמנית ,,36,2,2025-04-16T15:35:26.777Z,2025-04-16T15:35:26.812Z
12,צ'ארלי ,בולדוג צרפתי ,,11,1,2025-04-07T17:29:56.591Z,2025-04-07T18:30:16.838Z
69,נלה ,כנעני ,,61,2,2025-05-27T07:25:47.176Z,2025-07-14T08:58:02.529Z
29,ציקיטה ,כיף,,26,2,2025-04-11T15:24:27.898Z,2025-04-11T15:24:27.945Z
30,חזי ,כיף ,,26,2,2025-04-11T15:24:27.898Z,2025-04-11T15:24:27.945Z
31,ראלף ,מלי מעורב ,,27,2,2025-04-13T05:55:38.122Z,2025-04-13T05:55:38.180Z
32,בובי ,אוסטרלי ,,27,2,2025-04-13T05:55:38.122Z,2025-04-13T05:55:38.180Z
33,נסי ,מעורב בינוני ,,28,2,2025-04-16T07:09:41.080Z,2025-04-16T07:09:41.126Z
34,ג'סי ,מעורבת ,,29,2,2025-04-16T07:11:07.717Z,2025-04-16T07:11:07.748Z
35,ליצ'י ,ויסלה מעורבת ,,30,2,2025-04-16T07:14:06.526Z,2025-04-16T07:14:06.557Z
36,סקאי ,מעורב בנוני ,,31,2,2025-04-16T09:53:30.321Z,2025-04-16T09:53:30.361Z
37,ג'ני ,מעורבת קטנה ,,32,1,2025-04-16T10:02:30.398Z,2025-04-16T10:02:30.437Z
8,באנג'י ,מעורב ,,7,2,2025-04-07T17:07:14.257Z,2025-04-16T15:15:28.773Z
38,ג'וני ,מעורב ,,33,2,2025-04-16T15:21:44.106Z,2025-04-16T15:21:44.141Z
